Country Name,Country Code,Indice Educacion 
Aruba,ABW,Alto
Afganistán,AFG,Bajo
Angola,AGO,Mediano bajo
Albania,ALB,Mediano alto
Andorra,AND,Alto
El mundo árabe,ARB,Agregados
Emiratos Árabes Unidos,ARE,Alto
Argentina,ARG,Mediano alto
Armenia,ARM,Mediano alto
Samoa Americana,ASM,Alto
Antigua y Barbuda,ATG,Alto
Australia,AUS,Alto
Austria,AUT,Alto
Azerbaiyán,AZE,Mediano alto
Burundi,BDI,Bajo
Bélgica,BEL,Alto
Benin,BEN,Mediano bajo
Burkina Faso,BFA,Bajo
Bangladesh,BGD,Mediano bajo
Bulgaria,BGR,Alto
Bahrein,BHR,Alto
Bahamas,BHS,Alto
Bosnia y Herzegovina,BIH,Mediano alto
Belarús,BLR,Mediano alto
Belice,BLZ,Mediano alto
Bermudas,BMU,Alto
Bolivia,BOL,Mediano bajo
Brasil,BRA,Mediano alto
Barbados,BRB,Alto
Brunei Darussalam,BRN,Alto
Bhután,BTN,Mediano bajo
Botswana,BWA,Mediano alto
República Centroafricana,CAF,Bajo
Canadá,CAN,Alto
"Europa Central y del Báltico
",CEB,Agregados
Suiza,CHE,Alto
Islas del Canal,CHI,Alto
Chile,CHL,Alto
China,CHN,Mediano alto
Côte d'Ivoire,CIV,Mediano bajo
Camerún,CMR,Mediano bajo
"Congo, República Democrática del",COD,Bajo
"Congo, República del",COG,Mediano bajo
Colombia,COL,Mediano alto
Comoras,COM,Mediano bajo
Cabo Verde,CPV,Mediano bajo
Costa Rica,CRI,Mediano alto
Estados pequeos del Caribe,CSS,Agregados
Cuba,CUB,Mediano alto
Curacao,CUW,Alto
Islas Caimán,CYM,Alto
Chipre,CYP,Alto
República Checa,CZE,Alto
Alemania,DEU,Alto
Djibouti,DJI,Mediano bajo
Dominica,DMA,Mediano alto
Dinamarca,DNK,Alto
República Dominicana,DOM,Mediano alto
Argelia,DZA,Mediano alto
Asia oriental y el Pacífico (excluido altos ingresos),EAP,Agregados
inicial del dividendo demográfico,EAR,Agregados
Asia oriental y el Pacífico ,EAS,Agregados
Europa y Asia central (excluido altos ingresos),ECA,Agregados
Europa y Asia central,ECS,Agregados
Ecuador,ECU,Mediano alto
"Egipto, República Árabe de",EGY,Mediano bajo
Zona del Euro,EMU,Agregados
Eritrea,ERI,Bajo
España,ESP,Alto
Estonia,EST,Alto
Etiopía,ETH,Bajo
Unión Europea,EUU,Agregados
"Frágiles y situaciones de conflicto afectados
",FCS,Agregados
Finlandia,FIN,Alto
Fiji,FJI,Mediano alto
Francia,FRA,Alto
Islas Feroe,FRO,Alto
Micronesia (Estados Federados de),FSM,Mediano bajo
Gabón,GAB,Mediano alto
Reino Unido,GBR,Alto
Georgia,GEO,Mediano alto
Ghana,GHA,Mediano bajo
Gibraltar,GIB,Alto
Guinea,GIN,Mediano bajo
Gambia,GMB,Bajo
Guinea-Bissau,GNB,Bajo
Guinea Ecuatorial,GNQ,Mediano alto
Grecia,GRC,Alto
Granada,GRD,Mediano alto
Groenlandia,GRL,Alto
